,Metric,precision,recall,f1-score,support
0,0,0.8217391304347826,0.7941176470588235,0.8076923076923077,238.0
1,1,0.9661602209944752,0.9715277777777778,0.9688365650969529,1440.0
2,accuracy,0.9463647199046484,0.9463647199046484,0.9463647199046484,0.9463647199046484
3,macro avg,0.8939496757146289,0.8828227124183006,0.8882644363946304,1678.0
4,weighted avg,0.9456761807363068,0.9463647199046484,0.9459805857987972,1678.0
5,Cross Validation Score,0.8831907613344738,,,
6,Accuracy Score,0.9463647199046484,,,
