,Metric,precision,recall,f1-score,support
0,0,0.7692307692307693,0.7563025210084033,0.7627118644067796,238.0
1,1,0.9598337950138505,0.9625,0.9611650485436893,1440.0
2,accuracy,0.933253873659118,0.933253873659118,0.933253873659118,0.933253873659118
3,macro avg,0.8645322821223098,0.8594012605042016,0.8619384564752345,1678.0
4,weighted avg,0.9327995160291227,0.933253873659118,0.9330173382787403,1678.0
5,Cross Validation Score,0.9052323923581408,,,
6,Accuracy Score,0.933253873659118,,,
